variant,date,setup,side,micro_mode,micro_confirmed,micro_reason,micro_confidence,micro_bars_waited,micro_refined_r,entry_px,stop,tp1,tp2,sl_dist,pm_final,regime,exit_px,exit_reason,pnl_r,pnl_dollars,mfe_r,mae_r
v3_baseline_pm30,2020-11-18,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,12014.50,11935.64,12002.24,12019.71,78.86,34.9,RISK-ON,12019.71,tp2_partial,0.533,84.07,0.11,0.00
v3_baseline_pm30,2020-11-19,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,11896.00,11838.87,11909.23,11927.66,57.13,31.6,RISK-ON,11896.00,tp1_then_be,0.500,57.13,0.53,-0.21
v3_baseline_pm30,2020-12-02,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,12429.50,12397.05,12461.95,12478.17,32.45,31.7,RISK-ON,12470.25,timeout,0.500,32.45,1.29,-0.26
v3_baseline_pm30,2020-12-28,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,12819.75,12785.48,12854.02,12871.15,34.27,31.5,RISK-ON,12808.50,timeout,0.000,0.00,0.20,-0.70
v3_baseline_pm30,2020-12-30,EMA PB,short,baseline,False,baseline_no_micro,0.00,0,1.00,12842.75,12874.13,12811.37,12795.68,31.38,31.7,RISK-ON,12842.75,tp1_then_be,0.500,31.38,1.15,-0.73
v3_baseline_pm30,2020-12-31,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,12802.00,12860.12,12797.15,12780.80,58.12,35.8,RISK-ON,12802.00,tp1_then_be,0.500,58.12,0.14,-0.21
v3_baseline_pm30,2021-01-04,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,12746.50,12927.41,12833.96,12809.74,180.91,34.2,RISK-ON,12746.50,tp1_then_be,0.500,180.91,0.04,-0.20
v3_baseline_pm30,2021-01-06,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,12645.75,12547.16,12646.20,12671.89,98.59,36.0,RISK-ON,12645.75,tp1_then_be,0.500,98.59,0.16,-0.01
v3_baseline_pm30,2021-01-12,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,12886.50,12951.46,12880.72,12862.56,64.96,31.6,RISK-ON,12862.56,tp2_partial,0.684,88.90,0.66,0.00
v3_baseline_pm30,2021-01-13,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,12935.75,12855.10,12926.80,12945.31,80.65,34.4,RISK-ON,12935.75,tp1_then_be,0.500,80.65,0.00,-0.18
v3_baseline_pm30,2021-01-15,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,12792.00,12933.34,12865.97,12848.75,141.34,46.2,RISK-ON,12792.00,tp1_then_be,0.500,141.34,0.00,-0.22
v3_baseline_pm30,2021-01-19,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,12863.75,12933.51,12877.08,12862.54,69.76,34.6,RISK-ON,12863.75,tp1_then_be,0.500,69.76,0.00,-0.30
v3_baseline_pm30,2021-01-25,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,13411.75,13558.30,13464.71,13440.49,146.55,45.7,RISK-ON,13411.75,tp1_then_be,0.500,146.55,0.08,-0.07
v3_baseline_pm30,2021-01-29,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,12833.50,13137.87,12949.22,12899.57,304.37,47.2,RISK-ON,12833.50,tp1_then_be,0.500,304.37,0.00,-0.20
v3_baseline_pm30,2021-02-08,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,13612.50,13676.95,13612.63,13595.93,64.45,44.0,RISK-ON,13595.93,tp2_partial,0.629,81.02,0.34,-0.00
v3_baseline_pm30,2021-02-10,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,13556.00,13766.70,13690.45,13670.99,210.70,34.2,RISK-ON,13556.00,tp1_then_be,0.500,210.70,0.00,-0.37
v3_baseline_pm30,2021-02-12,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,13739.25,13711.35,13767.15,13781.10,27.90,33.4,RISK-ON,13732.75,timeout,0.000,0.00,0.56,-0.57
v3_baseline_pm30,2021-02-16,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,13719.25,13863.44,13783.88,13763.38,144.19,51.9,RISK-ON,13719.25,tp1_then_be,0.500,144.19,0.01,-0.17
v3_baseline_pm30,2021-02-22,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,13427.25,13353.65,13442.45,13465.29,73.60,30.8,RISK-ON,13427.25,tp1_then_be,0.500,73.60,0.25,-0.24
v3_baseline_pm30,2021-02-25,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,13078.75,13296.14,13143.72,13103.93,217.39,34.1,RISK-ON,13078.75,tp1_then_be,0.500,217.39,0.12,-0.05
v3_baseline_pm30,2021-03-09,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,12658.00,12576.12,12671.90,12696.90,81.88,36.9,NEUTRAL,12658.00,tp1_then_be,0.500,81.88,0.24,-0.19
v3_baseline_pm30,2021-04-16,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,14030.25,14003.47,14057.03,14070.41,26.78,32.2,RISK-ON,14034.00,timeout,0.000,0.00,0.40,-0.79
v3_baseline_pm30,2021-08-04,EMA PB,long,baseline,False,baseline_no_micro,0.00,0,1.00,15104.50,15080.59,15128.41,15140.37,23.91,30.4,NEUTRAL,15080.59,stop,-1.000,-47.82,0.00,-1.07
v3_baseline_pm30,2021-11-09,ORB,short,baseline,False,baseline_no_micro,0.00,0,1.00,16327.00,16394.22,16343.73,16330.67,67.22,39.6,RISK-ON,16330.67,tp2_partial,0.473,63.55,0.19,-0.03
v3_baseline_pm30,2021-11-10,ORB,long,baseline,False,baseline_no_micro,0.00,0,1.00,16137.75,16036.07,16145.49,16173.77,101.68,30.5,RISK-ON,16173.77,tp2_partial,0.677,137.70,0.42,-0.24
