variant,date,setup,side,entry_5m_ix,entry_px,stop,tp1,tp2,sl_dist,pm_final,quant,red_team,regime,voice_agree,exit_px,exit_reason,pnl_r,pnl_dollars,bars_5m,mfe_r,mae_r
v3_4_fib_partial_pm30,2021-12-15,ORB,short,15,15831.25,15932.81,15845.71,15823.39,101.56,35.7,-35.7,0.0,RISK-ON,8,15831.25,tp1_then_be,0.500,101.56,0,0.04,-0.09
v3_4_fib_partial_pm30,2021-12-22,ORB,long,15,16021.50,15930.25,16033.60,16060.76,91.25,34.6,34.6,0.0,RISK-ON,8,16021.50,tp1_then_be,0.500,91.25,1,0.25,-0.27
v3_4_fib_partial_pm30,2021-12-28,ORB,short,48,16468.25,16600.72,16500.01,16473.63,132.47,44.7,-44.7,0.0,RISK-ON,10,16468.25,tp1_then_be,0.500,132.47,0,0.00,-0.16
v3_4_fib_partial_pm30,2022-01-14,ORB,long,16,15539.00,15373.97,15570.87,15622.85,165.03,34.7,34.7,0.0,RISK-ON,7,15539.00,tp1_then_be,0.500,165.03,1,0.34,-0.01
v3_4_fib_partial_pm30,2022-01-21,ORB,short,16,14660.25,14824.21,14624.79,14572.37,163.96,34.5,-34.5,0.0,RISK-ON,8,14660.25,tp1_then_be,0.500,163.96,2,0.34,-0.11
v3_4_fib_partial_pm30,2022-01-27,ORB,long,15,14367.25,14228.80,14384.46,14425.11,138.45,36.4,36.4,0.0,RISK-ON,8,14367.25,tp1_then_be,0.500,138.45,1,0.20,-0.16
v3_4_fib_partial_pm30,2022-01-28,ORB,long,33,14234.25,13884.87,14155.76,14226.69,349.38,34.3,34.3,0.0,RISK-ON,7,14234.25,tp1_then_be,0.500,349.38,0,0.00,-0.08
v3_4_fib_partial_pm30,2022-02-07,ORB,long,16,14804.00,14667.24,14809.38,14846.74,136.76,39.2,39.2,0.0,RISK-ON,8,14667.24,stop,-1.000,-273.51,14,0.02,-1.02
v3_4_fib_partial_pm30,2022-02-11,ORB,short,20,14623.50,14776.09,14625.31,14585.95,152.59,32.2,-32.2,0.0,NEUTRAL,8,14623.50,tp1_then_be,0.500,152.59,0,0.20,-0.05
v3_4_fib_partial_pm30,2022-02-23,ORB,short,21,13844.75,14034.87,13923.99,13895.36,190.12,39.2,-39.2,0.0,RISK-ON,7,13844.75,tp1_then_be,0.500,190.12,0,0.00,-0.17
v3_4_fib_partial_pm30,2022-02-28,ORB,long,26,14219.50,14022.84,14135.89,14164.70,196.66,38.0,38.0,0.0,RISK-ON,8,14164.70,tp2_partial,0.361,141.85,0,0.05,-0.05
v3_4_fib_partial_pm30,2022-03-01,ORB,short,36,14085.00,14259.65,14126.50,14092.16,174.65,45.2,-45.2,0.0,RISK-ON,10,14085.00,tp1_then_be,0.500,174.65,0,0.10,-0.02
v3_4_fib_partial_pm30,2022-03-08,ORB,long,45,13535.50,13206.89,13413.14,13466.42,328.61,44.2,44.2,0.0,RISK-ON,8,13535.50,tp1_then_be,0.500,328.61,0,0.05,-0.14
v3_4_fib_partial_pm30,2022-03-11,ORB,short,16,13597.25,13735.51,13573.48,13530.83,138.26,34.2,-34.2,0.0,RISK-ON,7,13597.25,tp1_then_be,0.500,138.26,0,0.18,0.00
v3_4_fib_partial_pm30,2022-04-04,EMA PB,long,60,15162.75,15093.93,15231.57,15265.97,68.82,33.4,33.4,0.0,NEUTRAL,9,15183.39,trail_lock,0.300,41.29,6,0.70,-0.70
v3_4_fib_partial_pm30,2022-06-07,EMA PB,long,60,12728.00,12653.49,12802.51,12839.76,74.51,30.8,30.8,0.0,RISK-ON,7,12653.49,stop,-1.000,-149.01,1,0.04,-1.09
v3_4_fib_partial_pm30,2022-06-24,EMA PB,long,60,12106.75,12019.60,12193.90,12237.48,87.15,35.1,35.1,0.0,RISK-ON,8,12045.50,timeout,0.000,0.00,12,0.24,-0.88
v3_4_fib_partial_pm30,2022-06-28,EMA PB,short,60,11708.50,11808.23,11608.77,11558.90,99.73,32.9,-32.9,0.0,NEUTRAL,7,11704.00,timeout,0.000,0.00,12,0.31,-0.93
v3_4_fib_partial_pm30,2022-06-28,EMA PB,short,72,11706.75,11817.10,11596.40,11541.22,110.35,30.1,-30.1,0.0,RISK-ON,7,11673.75,session_end,0.000,0.00,5,0.35,-0.49
v3_4_fib_partial_pm30,2022-08-25,EMA PB,long,75,13208.50,13091.68,13325.32,13383.73,116.82,32.4,32.4,0.0,RISK-ON,7,13243.55,trail_lock,0.300,70.09,0,0.77,-0.73
v3_4_fib_partial_pm30,2022-11-08,EMA PB,long,21,11209.50,11055.31,11363.69,11440.79,154.19,32.8,32.8,0.0,RISK-ON,7,11209.50,tp1_then_be,0.500,154.19,11,1.19,-0.82
v3_4_fib_partial_pm30,2022-11-09,EMA PB,short,72,10866.50,11049.58,10683.42,10591.88,183.08,30.0,-30.0,0.0,RISK-ON,7,10949.50,session_end,0.000,0.00,5,0.16,-0.63
v3_4_fib_partial_pm30,2022-11-14,EMA PB,long,34,11863.25,11691.77,12034.73,12120.48,171.48,32.0,32.0,0.0,RISK-ON,7,11934.50,timeout,0.000,0.00,12,0.51,-0.74
v3_4_fib_partial_pm30,2022-11-16,EMA PB,short,27,11737.75,11956.49,11519.01,11409.64,218.74,31.0,-31.0,0.0,RISK-ON,8,11956.49,stop,-1.000,-437.48,3,0.14,-1.10
v3_4_fib_partial_pm30,2022-11-17,EMA PB,long,32,11731.00,11527.87,11934.13,12035.70,203.13,33.0,33.0,0.0,RISK-ON,7,11701.75,timeout,0.000,0.00,12,0.56,-0.60
v3_4_fib_partial_pm30,2022-11-29,ORB,short,31,11509.75,11857.33,11509.37,11420.79,347.58,34.5,-34.5,0.0,RISK-ON,7,11509.75,tp1_then_be,0.500,347.58,0,0.03,-0.36
v3_4_fib_partial_pm30,2022-12-05,EMA PB,short,72,11758.50,11981.12,11535.88,11424.57,222.62,32.3,-32.3,0.0,RISK-ON,8,11768.25,session_end,0.000,0.00,5,0.03,-0.58
v3_4_fib_partial_pm30,2022-12-08,ORB,long,23,11762.75,11475.83,11736.34,11800.70,286.92,30.8,30.8,0.0,NEUTRAL,7,11762.75,tp1_then_be,0.500,286.92,0,0.00,-0.48
v3_4_fib_partial_pm30,2022-12-15,ORB,short,16,11495.00,11857.13,11430.39,11320.53,362.13,31.8,-31.8,0.0,RISK-ON,7,11495.00,tp1_then_be,0.500,362.13,2,0.21,-0.53
v3_4_fib_partial_pm30,2022-12-20,EMA PB,long,24,11351.25,11163.90,11538.60,11632.27,187.35,33.3,33.3,0.0,RISK-ON,7,11163.90,stop,-1.000,-374.70,7,0.00,-1.06
v3_4_fib_partial_pm30,2022-12-21,EMA PB,long,14,11348.25,11233.43,11463.07,11520.48,114.82,30.7,30.7,0.0,NEUTRAL,7,11233.43,stop,-1.000,-229.64,2,0.39,-1.10
