time,open,high,low,close,volume
1675160400,11917.25,11917.5,11903.0,11903.75,609
1675160700,11903.5,11907.75,11896.0,11903.0,964
1675161000,11903.25,11907.75,11895.25,11896.5,680
1675161300,11896.25,11898.0,11884.0,11886.25,1422
1675161600,11886.0,11892.5,11885.0,11891.25,502
1675161900,11890.75,11903.0,11890.5,11902.25,906
1675162200,11902.0,11903.5,11893.5,11897.75,633
1675162500,11897.25,11899.0,11884.0,11886.25,1129
1675162800,11885.5,11899.25,11881.75,11895.25,1471
1675163100,11895.25,11897.25,11889.0,11890.0,513
1675163400,11889.5,11892.5,11884.0,11887.25,787
1675163700,11886.5,11895.5,11886.0,11891.25,879
1675164000,11890.75,11890.75,11883.5,11884.0,594
1675164300,11884.5,11885.25,11877.0,11878.5,1065
1675164600,11878.25,11881.5,11871.0,11874.25,1673
1675164900,11873.75,11894.5,11873.75,11892.0,1617
1675165200,11891.75,11906.5,11891.0,11906.25,1286
1675165500,11905.75,11910.5,11901.0,11908.5,955
1675165800,11907.75,11909.75,11903.0,11908.25,603
1675166100,11909.0,11914.0,11906.5,11912.5,682
1675166400,11911.75,11924.25,11911.25,11917.5,1730
1675166700,11917.0,11917.0,11905.25,11908.25,997
1675167000,11908.0,11919.75,11906.5,11917.5,672
1675167300,11916.75,11922.5,11913.5,11915.0,704
1675167600,11915.5,11920.0,11913.0,11913.0,582
1675167900,11913.75,11923.25,11906.75,11922.75,888
1675168200,11921.75,11928.5,11916.0,11922.75,1081
1675168500,11922.25,11926.0,11915.75,11916.75,637
1675168800,11917.25,11922.5,11914.75,11922.25,453
1675169100,11921.5,11936.0,11918.25,11927.25,1382
1675169400,11927.0,11937.0,11926.25,11937.0,973
1675169700,11937.25,11939.0,11930.0,11930.5,924
1675170000,11931.0,11941.0,11929.5,11937.75,1122
1675170300,11938.25,11939.25,11929.75,11933.0,887
1675170600,11932.75,11937.0,11923.75,11925.5,1046
1675170900,11925.5,11934.5,11921.25,11931.75,1288
1675171200,11931.25,11938.75,11928.75,11932.25,930
1675171500,11932.5,11938.5,11928.0,11932.75,893
1675171800,11932.0,11987.75,11932.0,11959.25,10163
1675172100,11958.75,11992.75,11953.0,11981.5,5022
1675172400,11982.25,11989.75,11960.0,11987.5,4198
1675172700,11986.75,12001.25,11984.5,11996.0,3761
1675173000,11997.0,12017.25,11992.0,12003.5,4707
1675173300,12003.25,12013.0,11997.25,12001.25,3350
1675173600,12001.5,12013.75,11999.5,12008.75,2805
1675173900,12008.5,12008.75,11997.0,12005.25,2085
1675174200,12005.0,12005.75,11992.0,11996.25,1547
1675174500,11997.0,11999.0,11982.0,11986.5,2539
1675174800,11986.0,11995.5,11983.5,11994.75,1940
1675175100,11994.25,11994.25,11971.5,11975.0,3103
1675175400,11974.25,12031.25,11969.0,12024.5,19597
1675175700,12024.75,12028.0,11996.75,12006.0,9198
1675176000,12006.5,12038.0,11984.75,12005.0,11124
1675176300,12006.0,12048.0,11987.75,12040.75,11137
1675176600,12041.25,12055.25,12018.75,12033.0,8869
1675176900,12032.5,12044.0,11994.25,11995.0,7341
1675177200,11996.5,12017.25,11980.0,11986.75,10906
1675177500,11987.75,12031.5,11977.0,11985.75,10265
1675177800,11985.75,12033.75,11978.5,12031.5,9203
1675178100,12031.5,12043.5,12021.0,12039.25,6216
1675178400,12039.25,12052.75,12023.75,12037.0,7034
1675178700,12037.5,12061.5,12024.25,12059.0,7095
1675179000,12059.0,12071.25,12050.25,12062.5,7474
1675179300,12063.25,12068.0,12051.25,12053.75,4822
1675179600,12053.5,12065.75,12047.0,12063.25,4823
1675179900,12063.5,12069.75,12053.5,12063.0,4524
1675180200,12063.0,12083.75,12048.25,12059.75,8875
1675180500,12059.5,12075.0,12057.0,12074.0,5228
